# https://www.aoml.noaa.gov/hrd/hurdat/International_Hurricanes.html
Nth,Date,Time,Latitude,Longitude,MaxWinds,SSHWS,CentralPressure,LandfallCountry,StormName
4,9/12/46,2300Z,25.9N,77.3W,65,1,---,Bahamas,---
6,10/7/46,0400Z,22.2N,83.9W,80,1,977,Cuba,---
1,8/15/47,1000Z,21.7N,97.5W,95,2,---,Mexico,---
4,9/16/47,1900Z,26.7N,77.1W,105,3,954,Bahamas,---
8,9/20/48,2200Z,22.3N,82.1W,110,3,---,Cuba,"""El Huracan de Matanzas"""
8,9/21/48,0100Z,22.7N,82.0W,110,3,---,Cuba,"""El Huracan de Matanzas"""
9,10/5/48,0700Z,22.4N,83.2W,110,3,---,Cuba,---
9,10/7/48,2200Z,32.3N,64.9W,90,2,971,Bermuda,---
1,8/21/50,1600Z,41.6N,63.7W,65,1,---,Canada,Able
5,9/3/50,0100Z,21.5N,82.6W,70,1,---,Cuba,Easy
5,9/3/50,0700Z,22.7N,82.3W,80,1,---,Cuba,Easy
9,10/11/50,0400Z,18.9N,95.5W,90,2,---,Mexico,Item
11,10/16/50,2200Z,20.9N,78.3W,80,1,---,Cuba,King
1,5/18/51,1200Z,27.0N,77.9W,75,1,982,Bahamas,Able
4,8/18/51,0300Z,17.9N,76.9W,110,3,---,Jamaica,Charlie
4,8/20/51,0200Z,20.3N,87.0W,115,4,---,Mexico,Charlie
4,8/20/51,0300Z,20.4N,87.3W,115,4,---,Mexico,Charlie
4,8/22/51,1900Z,22.3N,97.8W,100,3,968,Mexico,Charlie
10,10/24/52,1800Z,22.0N,80.9W,125,4,934,Cuba,Fox
10,10/25/52,1000Z,24.7N,76.2W,75,1,---,Bahamas,Fox
10,10/26/52,1500Z,24.5N,75.6W,75,1,---,Bahamas,Fox
4,9/7/53,2000Z,44.2N,66.4W,75,1,---,Canada,Carol
4,9/7/53,2200Z,45.3N,65.8W,70,1,---,Canada,Carol
14,10/6/54,0000Z,12.2N,61.6W,65,1,---,Grenada,Hazel
14,10/12/54,0900Z,18.3N,74.2W,105,3,---,Haiti,Hazel
14,10/13/54,0000Z,19.6N,73.4W,85,2,---,Haiti,Hazel
14,10/13/54,1400Z,21.0N,73.1W,85,2,---,Bahamas,Hazel
16,1/2/55,2100Z,18.0N,63.0W,65,1,991,St. Martin,Alice
7,9/5/55,2200Z,23.1N,97.8W,65,1,996,Mexico,Gladys
9,9/13/55,2100Z,20.2N,74.2W,70,1,986,Cuba,Hilda
9,9/15/55,0300Z,19.3N,81.2W,65,1,995,Cayman Islands,Hilda
9,9/16/55,1400Z,19.7N,87.7W,105,3,---,Mexico,Hilda
9,9/19/55,1100Z,22.3N,97.9W,105,3,952,Mexico,Hilda
10,9/23/55,0000Z,12.6N,61.4W,90,2,---,St. Vincent and the Grenadines,Janet
10,9/27/55,1700Z,17.4N,83.9W,140,5,---,Swan Island,Janet
10,9/28/55,0500Z,18.4N,87.8W,150,5,914,Mexico,Janet
10,9/29/55,1800Z,19.8N,96.4W,95,2,---,Mexico,Janet
2,7/26/56,2100Z,21.7N,97.5W,75,1,---,Mexico,Anna
